Class,original_firstorder_10Percentile,original_firstorder_90Percentile,original_firstorder_Energy,original_firstorder_Entropy,original_firstorder_InterquartileRange,original_firstorder_Kurtosis,original_firstorder_Maximum,original_firstorder_MeanAbsoluteDeviation,original_firstorder_Minimum,original_firstorder_Range,original_firstorder_RobustMeanAbsoluteDeviation,original_firstorder_RootMeanSquared,original_firstorder_Skewness,original_firstorder_TotalEnergy,original_firstorder_Uniformity,original_firstorder_Variance,original_glcm_Autocorrelation,original_glcm_JointAverage,original_glcm_ClusterProminence,original_glcm_ClusterShade,original_glcm_ClusterTendency,original_glcm_Contrast,original_glcm_Correlation,original_glcm_DifferenceAverage,original_glcm_DifferenceEntropy,original_glcm_DifferenceVariance,original_glcm_JointEnergy,original_glcm_JointEntropy,original_glcm_Imc1,original_glcm_Imc2,original_glcm_Idm,original_glcm_Id,original_glcm_InverseVariance,original_glcm_MaximumProbability,original_glcm_SumEntropy,original_glcm_SumSquares,original_glrlm_GrayLevelNonUniformity,original_glrlm_GrayLevelNonUniformityNormalized,original_glrlm_GrayLevelVariance,original_glrlm_HighGrayLevelRunEmphasis,original_glrlm_LongRunEmphasis,original_glrlm_LongRunLowGrayLevelEmphasis,original_glrlm_LowGrayLevelRunEmphasis,original_glrlm_RunEntropy,original_glrlm_RunLengthNonUniformity,original_glrlm_RunLengthNonUniformityNormalized,original_glrlm_RunPercentage,original_glrlm_RunVariance,original_glrlm_ShortRunEmphasis,original_glrlm_ShortRunHighGrayLevelEmphasis,original_glrlm_ShortRunLowGrayLevelEmphasis,original_glszm_GrayLevelNonUniformity,original_glszm_GrayLevelNonUniformityNormalized,original_glszm_GrayLevelVariance,original_glszm_HighGrayLevelZoneEmphasis,original_glszm_LargeAreaEmphasis,original_glszm_LargeAreaHighGrayLevelEmphasis,original_glszm_LargeAreaLowGrayLevelEmphasis,original_glszm_LowGrayLevelZoneEmphasis,original_glszm_SizeZoneNonUniformity,original_glszm_SizeZoneNonUniformityNormalized,original_glszm_SmallAreaEmphasis,original_glszm_SmallAreaHighGrayLevelEmphasis,original_glszm_SmallAreaLowGrayLevelEmphasis,original_glszm_ZoneEntropy,original_glszm_ZonePercentage,original_glszm_ZoneVariance,original_gldm_DependenceEntropy,original_gldm_DependenceNonUniformity,original_gldm_DependenceNonUniformityNormalized,original_gldm_DependenceVariance,original_gldm_GrayLevelNonUniformity,original_gldm_GrayLevelVariance,original_gldm_HighGrayLevelEmphasis,original_gldm_LargeDependenceEmphasis,original_gldm_LargeDependenceHighGrayLevelEmphasis,original_gldm_LargeDependenceLowGrayLevelEmphasis,original_gldm_LowGrayLevelEmphasis,original_gldm_SmallDependenceEmphasis,original_gldm_SmallDependenceHighGrayLevelEmphasis
1,67.05102041,266.0510204,7593659228,3.77942332,95,5.480338252,747.0510204,64.03622195,-117.9489796,865,40.47219277,190.9953261,0.375593177,6406495551,0.092909319,7627.957657,165.0281731,12.47253924,10409.51056,120.3027915,41.88135552,4.03895763,0.821809758,1.344493685,2.14791198,2.113226738,0.020433848,6.475246191,-0.259255879,0.904204958,0.529654047,0.573050245,0.445841645,0.047256602,4.648861447,11.48007829,13553.65203,0.087218219,13.57881418,163.8282878,2.629101722,0.026000371,0.011278342,4.93856755,98257.9999,0.619071716,0.744556437,0.694360226,0.809391512,132.3403368,0.009485438,759.6726082,0.059915814,25.39546864,169.5923969,35014.18251,5686402.342,238.9983778,0.015892216,3153.031864,0.248681431,0.509523886,87.63265176,0.007780328,7.227941121,0.060908707,34744.63132,7.678657013,14563.78236,0.069963021,17.54935131,19340.37553,12.29670847,163.8677197,75.94237236,12437.49447,0.63868758,0.01070865,0.070095806,11.64831278
1,82.44897959,260.4489796,6960017184,3.631142349,80,6.171113104,773.4489796,57.34725097,-115.5510204,889,34.11609711,188.7192521,0.616020342,5871914684,0.108357735,6608.205148,162.1092768,12.42735101,8301.569639,159.5393163,35.06827419,4.390767777,0.774296758,1.425823858,2.208410612,2.228721517,0.024064017,6.34904015,-0.215555417,0.854754376,0.51032231,0.557374076,0.440804121,0.063842652,4.461565694,9.864760491,14822.6098,0.099506556,11.8834395,163.0689046,2.438508268,0.021510768,0.009900807,4.745723417,96777.01258,0.637655084,0.760459703,0.602612598,0.821307616,134.2318464,0.008419606,827.2357863,0.061803197,23.99987851,169.1119163,31951.67516,4838127.271,222.5365292,0.015019572,3455.616362,0.258170815,0.519648507,88.51632846,0.007485232,7.121553745,0.068492099,31738.50861,7.404745879,14454.80152,0.073966358,15.89419327,21175.70206,10.65913738,162.3121162,68.13886728,10757.11234,0.524235471,0.009460318,0.077425097,12.91169739
1,43.6,238.6,4553206582,3.627815123,89,3.996667637,580.6,59.94408631,-110.4,691,38.16786089,171.7344933,-0.618498147,5869367774,0.101732674,6353.792036,143.4732992,11.71065687,4253.126044,-130.783738,31.31472274,5.987204788,0.674357208,1.740988008,2.444091197,2.879053492,0.017365137,6.597051805,-0.141710443,0.772942663,0.441900106,0.50195905,0.418202755,0.038912419,4.416097197,9.325481883,12244.18466,0.096948801,10.87428109,142.6569912,1.837416594,0.024604992,0.015512056,4.499459842,89742.37141,0.706636647,0.818205055,0.325333713,0.864765871,122.2569914,0.013978467,1224.51545,0.066968305,17.85024253,131.7844135,11044.1306,1709784.444,78.87338183,0.026584238,6330.527263,0.346214234,0.609215987,81.70046,0.016680515,6.439071275,0.118438439,10972.84289,7.100924049,14088.90123,0.091258817,10.31558944,15705.89718,10.25711898,144.3655625,43.11032231,6701.288262,0.425894111,0.014687531,0.12457882,16.75919768
1,35.2,251.2,4683590855,3.803319739,100,3.609950172,478.2,66.22932022,-152.8,631,42.70023155,173.9907142,-0.41781479,6930736305,0.088993627,7594.731543,197.226621,13.75870302,5818.988586,-120.8560328,38.73228266,7.061637278,0.688794318,1.932313057,2.563742376,3.216340087,0.01324832,6.968760572,-0.141482566,0.783023766,0.410859948,0.477202764,0.393720388,0.031305014,4.621866704,11.44847998,11036.34465,0.08554447,12.84722661,194.4526965,1.738992513,0.013705347,0.008517606,4.608155756,94318.68294,0.727046936,0.833909835,0.283042559,0.87582587,169.5163974,0.007637977,1205.651583,0.062997784,20.21490977,179.9391786,8521.413053,1750207.08,44.53470341,0.01229597,6190.066987,0.323443776,0.587265976,106.5218567,0.007471384,6.640623871,0.123700012,8456.060807,7.196607315,15643.68425,0.10111422,8.94606728,13768.47107,12.23705686,195.4356518,37.23085326,7485.49173,0.247137695,0.008267214,0.130177903,24.04701564
1,25.2,169.2,3412392844,3.274301599,69,4.87002289,504.2,46.08472944,-132.8,637,29.41826907,120.8241369,-0.395975247,2878912382,0.131711747,3858.66517,119.9465192,10.75481877,1910.522542,-51.6222891,19.83737397,2.719068195,0.754600488,1.073315553,1.907431544,1.504741263,0.035771167,5.624666822,-0.240806825,0.863332316,0.589636805,0.621588925,0.465424722,0.082738217,4.09785549,5.639110541,19700.38804,0.120761966,7.198534223,118.4709392,3.218006725,0.036358381,0.01364911,4.636406864,93577.3238,0.560031825,0.695664336,0.967351475,0.770588604,90.38015553,0.011134698,799.6118853,0.071888149,16.86856883,121.8707183,80338.36645,9921020.276,702.0960998,0.022422591,2880.291019,0.258949116,0.520360012,64.7091435,0.011841396,6.852856816,0.047585027,79896.73564,7.322812528,14066.05179,0.060175623,21.89066796,30787.62089,6.257923926,119.8295957,101.3273754,12502.39106,0.993433704,0.01265049,0.055804728,6.553678503
1,67.58,197.58,4804086469,3.094402595,61,4.350515261,508.58,40.79370568,-71.42,580,26.13088984,147.897409,-0.632601704,4053033941,0.146462341,2955.581433,86.56632133,9.108356905,1124.293718,-50.26128942,15.98964917,1.578179529,0.817311798,0.816252241,1.656891096,0.874324241,0.049035711,5.130315991,-0.297757018,0.896956459,0.659260133,0.680681266,0.449192185,0.105011226,3.930726898,4.391957176,18136.04369,0.131458288,5.575115908,82.74980712,4.779391519,0.076389816,0.021479062,4.713126984,70042.50194,0.491550423,0.624695772,1.832179584,0.721288329,57.93145283,0.01674974,582.5289925,0.094351959,10.48507178,77.17687075,190607.4916,16960721.87,2355.578314,0.034869456,1355.433431,0.219538942,0.473397486,36.30645903,0.015678506,6.80014635,0.028111042,189342.0383,7.381259885,11021.00979,0.050180121,31.3441944,32167.37755,4.810852431,85.79011879,147.0768205,13544.70776,2.051607776,0.019133581,0.037654083,2.838724535
1,-194.02,300.98,5434706241,4.889233909,250,2.676251131,647.98,148.342447,-392.02,1040,104.6557374,188.245632,0.353824146,6368796376,0.038293894,34018.66103,381.3492984,18.36424422,102265.4945,800.2391103,198.0280237,21.72183633,0.802366766,3.300878915,3.21952793,9.863637376,0.003399643,8.840908874,-0.19346441,0.890466001,0.306505195,0.385895851,0.297125997,0.008822736,5.823283735,54.93746499,5153.333753,0.038072713,54.63288586,385.0032387,1.512407557,0.0128669,0.007624954,5.464023119,109836.3501,0.805146967,0.882559204,0.204587113,0.914576087,356.0945005,0.00683319,1275.934852,0.035969184,57.51331924,442.8535506,639.41237,129942.7588,6.587529639,0.006510931,11560.01435,0.325882061,0.590710761,264.2240997,0.003742065,7.423824805,0.231297884,620.7203309,7.984909681,20648.84566,0.134638579,6.539984193,5872.943103,54.50715299,378.025423,22.97052783,7002.333603,0.252596199,0.007886781,0.210256193,90.65453301
1,50.84,174.84,3572753269,3.067672578,60,3.867926987,338.84,39.00323729,-79.16,418,25.46249845,126.5367544,-0.257673419,3014202671,0.148229848,2635.758172,86.78916121,9.167446037,728.9851169,-16.89413745,13.4586288,2.47068172,0.684781159,1.078955015,1.900159413,1.229191105,0.039009241,5.429380685,-0.194287898,0.785100497,0.580424349,0.614916579,0.46047387,0.08769448,3.8766007,3.982327631,21544.51326,0.137175204,4.813717348,86.78839972,3.169857022,0.046424748,0.01647962,4.387832503,92084.03599,0.56961555,0.702698734,0.942940047,0.776111209,66.96496163,0.013257094,740.4641537,0.091212633,9.726930704,88.42424242,84786.43779,7314166.986,1048.848852,0.025091515,1755.397389,0.216235204,0.470594856,39.78871565,0.01282884,6.804293732,0.0363814,84030.92609,7.109723939,14129.88561,0.063324097,21.07327929,33075.41541,4.302102966,87.33463,97.28326223,8646.869532,1.292193424,0.015710109,0.04895638,4.147489491
1,53.7,226.7,5145061348,3.555461518,81,4.018896675,481.7,54.5765704,-123.3,605,34.52543982,155.98735,0.013470247,4340702111,0.10818029,5344.05038,129.0334588,11.09601856,3225.140637,-14.89888333,27.8572019,4.212144334,0.733400383,1.398902682,2.195706996,2.124618289,0.02358288,6.271951116,-0.205622102,0.837531258,0.518000426,0.563833935,0.438392668,0.058902872,4.393089116,8.017336558,15966.40195,0.100230222,9.525498683,130.4706662,2.533709725,0.032358515,0.014553616,4.689630211,102034.0946,0.628348665,0.751918966,0.65283165,0.815785449,106.867092,0.01224458,872.7775735,0.066848772,17.32067068,138.4302237,35948.18244,4390706.849,319.562348,0.020572811,3231.601869,0.247518525,0.508088558,69.58918102,0.010414657,7.041782404,0.061744509,35685.87941,7.417775419,15233.63032,0.072042971,17.40351771,22874.93865,8.627330095,129.707352,72.90761024,9165.271508,0.810661429,0.013890533,0.072266816,9.704051363
1,-8.76,514.24,22430285947,5.042326369,262,2.935209503,1170.24,159.0718228,-400.76,1571,109.9500625,331.7321888,-0.132857824,20124829310,0.035634701,40319.33701,861.4845293,28.50056902,142842.4148,-608.6306589,222.4801173,25.76957948,0.790843532,3.662659311,3.364524359,11.53504598,0.002729614,9.155053404,-0.17354626,0.882253469,0.270174522,0.35531424,0.270080812,0.006550478,5.92666889,62.0624242,6502.679318,0.035412728,65.34494122,857.3296766,1.390647306,0.002776363,0.002023463,5.555537736,152832.4623,0.828969153,0.900972851,0.147989108,0.927064573,797.2705678,0.001887329,1733.811736,0.031093069,80.62125255,876.099566,437.5017395,248589.2245,0.999210258,0.002392254,19587.31226,0.351266315,0.614488631,533.9627067,0.00156274,7.54997847,0.273576482,424.1406314,7.939491829,31405.44535,0.154079682,4.762733673,7263.278659,64.57731271,852.6507266,17.54125578,13707.36264,0.033876352,0.002010448,0.24619923,214.3118292
1,56.94,216.94,4394130128,3.443937268,77,4.026288556,486.94,50.57832342,-82.06,569,32.59345071,153.2267463,0.237200423,3707168609,0.115331505,4523.99288,107.8051602,10.12769967,2380.841836,27.23504962,24.04845903,3.117917467,0.76739145,1.232321561,2.025223632,1.500208809,0.026518862,6.002654479,-0.226866355,0.855574228,0.540464216,0.582066841,0.457804908,0.063111949,4.294637219,6.791594125,15031.3029,0.108305594,8.010482379,107.1032266,2.620254673,0.035378177,0.015268167,4.614583209,86392.06472,0.608765907,0.740536073,0.668357991,0.802700939,85.90583431,0.012730997,598.6440397,0.07079518,16.1313474,109.673368,45967.88056,4740373.041,486.4684626,0.026805065,2041.951041,0.241479546,0.500863664,54.97107999,0.013806916,6.980824228,0.04518156,45478.01426,7.292387795,13683.51366,0.073112877,15.62865923,21584.98321,7.320564577,107.0876328,75.63013743,8044.66654,0.898101669,0.014532869,0.058577793,6.295922531
1,-133.82,219.18,10925290378,3.465632515,282,1.765405704,479.18,132.0038682,-135.82,615,113.5407749,147.094704,0.438108177,16167148029,0.176989602,21458.73087,99.3823931,8.108933164,30397.73888,39.62709535,137.7684172,5.691056902,0.920857235,1.335277331,2.261416757,3.798502434,0.109727702,5.851228416,-0.384172051,0.965318006,0.615560554,0.656492003,0.269975711,0.320681815,4.254066338,35.86486852,37977.64876,0.104954674,30.23932134,108.0705699,46.28409905,44.74874167,0.234721431,4.72684365,202733.2613,0.592848438,0.674661082,43.53958223,0.792312548,93.75262748,0.126375793,2719.117001,0.058118176,22.08860928,135.2718121,304569.4674,1224104.592,298796.0599,0.029731942,13664.88774,0.292072153,0.555815848,77.61041854,0.01681518,6.893575089,0.092656737,304452.9889,6.123271011,64830.17788,0.128392099,38.86854083,89368.95272,35.29573315,83.86692056,128.3376626,3386.342835,104.9503521,0.405058006,0.090070511,12.05756799
1,39.58,179.58,3145937234,3.184208435,70,3.375555868,362.58,43.52485141,-91.42,454,29.52012671,126.7531328,-0.4215488,2654113424,0.132103842,3108.006765,88.25602878,9.19727842,954.6691055,-30.83746235,16.70751872,2.053280731,0.778225356,0.980045605,1.795921308,1.027717143,0.03626932,5.458491034,-0.254830804,0.866182236,0.604461508,0.634558076,0.464917109,0.076973607,4.036329047,4.690199864,16604.36204,0.123872384,5.559444641,85.43313458,3.50976781,0.055195454,0.018435229,4.564935424,75532.69329,0.545052356,0.682525004,1.096889677,0.758081322,63.67713689,0.014728779,528.5459997,0.090550968,9.978513244,75.17646051,98509.43516,8600730.74,1262.84892,0.033143655,1265.135001,0.216744047,0.47098694,34.4582562,0.01579242,6.79384632,0.029809661,97384.08957,7.278759891,12004.83633,0.06130891,21.77629403,25867.12111,5.054668474,86.97265703,107.4192861,9742.168894,1.498671187,0.017240131,0.042031538,3.220715378
1,-35.94,462.06,11730752255,4.952715044,251,3.140524353,1002.06,152.8467417,-422.94,1425,105.4010747,304.1620434,-0.506428111,10525027963,0.038140322,37390.96451,798.6305285,27.46964131,131039.7228,-1664.017488,200.5401118,24.54434545,0.778933209,3.548463052,3.317839659,11.10772754,0.003214937,8.983860409,-0.167563087,0.865382222,0.278537151,0.362702252,0.278156949,0.007398658,5.808979582,56.27111432,4268.527836,0.037508498,61.26353163,779.778127,1.412672314,0.004011352,0.003033626,5.48837451,94161.09411,0.823573308,0.89728565,0.156911656,0.924238188,717.7399642,0.002849779,1049.945957,0.031717547,76.73133109,720.9153853,502.6444431,433523.1558,0.67580251,0.003944624,11784.18515,0.355985414,0.618765187,440.0567544,0.002466672,7.473416224,0.261066728,487.9721853,7.87379332,18810.95303,0.148352535,4.857187434,4836.154678,59.91017943,783.9461904,18.3302944,15145.9204,0.040315085,0.002966345,0.237974926,174.0082553
1,42.22,232.22,5527614761,3.616659003,86,3.541894229,487.22,57.59920778,-69.78,557,37.12322487,161.7961559,0.055884609,4663448584,0.101313086,5782.0453,95.22451947,9.410015231,3448.565225,4.722779798,30.39845578,3.711544061,0.778479865,1.323831844,2.117661961,1.845030443,0.022572109,6.267109044,-0.233088391,0.871740601,0.52655697,0.570657338,0.449540248,0.056212454,4.461230358,8.527499959,15070.19011,0.09489407,10.10333266,94.32466899,2.520109178,0.057318952,0.026989168,4.740634212,101228.7964,0.624433523,0.751189338,0.633602092,0.813065641,76.60826657,0.022945297,754.6930782,0.067491779,17.14238623,98.99293507,36468.63414,3395344.768,459.0789026,0.044166254,2765.13325,0.247284319,0.507935268,50.17458895,0.020954994,6.995462859,0.052956359,36112.04858,7.446421408,15695.17705,0.074330123,15.59076905,21392.76473,9.330951209,94.42599512,71.37788355,6730.486936,1.309576161,0.025338703,0.065683981,6.280965806
